Migration_Path,Customer_Count,Avg_FY25_Spend,Avg_FY26_Spend,Avg_FY25_SoW,Avg_FY26_SoW,Total_FY26_Spend,Pct_of_Continuous_Customers
HSIC Expansion / Adoption,5334,11767.508095238096,13597.668500187478,-40.78346988812775,96.73761109263543,72529963.78,25.67
Mixed Transition,2547,16629.114142127994,16196.744067530428,18.416768559295015,10.980484760511684,41253107.14,12.26
Moderate HSIC Displacement,4006,15026.034672990514,15315.711774837742,67.20157032108702,9.973111629905606,61354741.37,19.28
Persistent Non-HSIC Transactor,4474,9851.259117121144,10763.898006258381,0.708771379448238,-12.281448522441956,48157679.68,21.53
Severe HSIC Collapse (High -> Near Zero),3560,12370.147929775281,11667.00484269663,95.90977417362265,-18.44801940800121,41534537.24,17.13
Stable High HSIC Loyalist,858,17416.59216783217,16574.845769230767,46.588563241745916,45.70061977573212,14221217.67,4.13
