Percentile_Band,Tx_Count,Total_Spend,HSIC_Spend,Avg_Ticket,HSIC_SoW
"P0-P50 (< ₹2,057)",130769,116359238.65,25655894.39,1115.131484296737,22.05
"P50-P75 (₹2,057 - ₹4,417)",65291,160573843.19,35333072.82,3072.9373590540813,22.0
"P75-P90 (₹4,417 - ₹7,513)",39195,179888216.55,43733259.6,5745.822201556321,24.31
"P90-P95 (₹7,513 - ₹9,871)",13079,89092474.08,23168900.31,8545.214323725055,26.01
"P95-P99 (₹9,871 - ₹10,000)",13084,104234957.61,26703227.56,9997.667215683277,25.62
"P99+ (> ₹10,000)",0,0.0,0.0,,
